p,omega,delta,mu_e,mu_ql,mu_el,mu_qn,mu_en,mu_qa,mu_ea,mu_h,beta_nh,beta_hl,beta_hn,tau,lambda_l,lambda_n,lambda_a,alpha,f_l,f_n,f_a,kappa,c,Tf,obsprob,T_min_l,gamma,E0,QL0,EL_s0,EL_i0,QN_s0,QN_i0,EN_s0,EN_i0,QA_s0,QA_i0,EA0,H_s0,H_i0
2000,24.060693437346686,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.35739592634540995,20.375505273745752,0.0874658502008492,0.5150263397401412,0.5769385628423027,0.9434582019775642,0.055208030008961045,0.009904425932666251,0.0879183150658938,0.4,4,4.0619482421875,0.23484863061051864,6.698358464735201,40.625,90.625,96.875,84.375,9.375,46.875,84.375,40.625,78.125,34.375,53.125,0.171875,0.203125
2000,26.481895292677173,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.32355962562631785,18.350610339708908,0.09698594273971713,0.4638435979026117,0.6364935112647341,0.9966740118810332,0.0609069234292409,0.00899887841882248,0.09748765548122917,0.4,4,3.6582763671875003,0.21234816300711565,6.698358464735201,90.625,40.625,46.875,34.375,59.375,96.875,34.375,90.625,28.125,84.375,3.125,0.421875,0.453125
2000,22.850092509681446,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.3404777759858639,19.36305780672733,0.1017459890091511,0.5406177106589061,0.6067160370535184,0.9168502970258299,0.05805747671910098,0.009451652175744365,0.10227232568889687,0.4,4,3.8601123046875006,0.22359839680881713,6.698358464735201,15.625,15.625,71.875,9.375,34.375,21.875,9.375,15.625,3.125,59.375,28.125,0.046875,0.328125
2000,25.27129436501193,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.3066414752667718,21.387952740764174,0.09222589647028316,0.4894349688213765,0.5471610886310871,0.9700661069292987,0.05235858329882112,0.008546104661900594,0.09270298527356148,0.4,4,4.263784179687501,0.24609886441222012,6.698358464735201,65.625,65.625,21.875,59.375,84.375,71.875,59.375,65.625,53.125,9.375,78.125,0.296875,0.078125
2000,22.244792045848822,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.33201870080609086,20.881729007254965,0.09936596587443411,0.5534133961182884,0.5620498257366949,0.9567621544534315,0.05948220007417094,0.008772491540361537,0.09987999058506301,0.4,4,3.9610302734375007,0.24047374751136938,6.698358464735201,28.125,28.125,9.375,71.875,96.875,9.375,46.875,28.125,15.625,21.875,65.625,0.484375,0.390625
2000,24.66599390117931,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.36585500152518297,18.856834073218117,0.08984587333556618,0.5022306542807589,0.6216047741591262,0.9035463445499626,0.05378330665389108,0.009678039054205308,0.09031065016972764,0.4,4,4.364702148437501,0.2179732799079664,6.698358464735201,78.125,78.125,59.375,21.875,46.875,59.375,96.875,78.125,65.625,71.875,15.625,0.234375,0.140625
2000,23.455392973514066,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.31510055044654484,19.869281540236543,0.09460591960500014,0.5278220251995236,0.6513822483703419,0.983370059405166,0.05663275336403101,0.00831971778343965,0.09509532037739533,0.4,4,4.1628662109375005,0.20672304610626488,6.698358464735201,3.125,53.125,34.375,46.875,71.875,34.375,71.875,3.125,90.625,96.875,40.625,0.359375,0.015625
2000,25.876594828844553,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.3489368511656369,21.894176474273387,0.10412601214386809,0.47663928336199407,0.5918272999479106,0.930154249501697,0.062331646784310864,0.009225265297283423,0.10466466079273071,0.4,4,3.7591943359375004,0.22922351370966787,6.698358464735201,53.125,3.125,84.375,96.875,21.875,84.375,21.875,53.125,40.625,46.875,90.625,0.109375,0.265625
2000,22.547442277765132,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.37008453911506944,19.109945939972725,0.08865586176820768,0.5214241824698325,0.5694941942894989,0.9634141306913652,0.05876983839663596,0.009338458736513894,0.08672214751397687,0.4,4,4.415161132812501,0.20391048765583952,6.698358464735201,21.875,46.875,53.125,3.125,15.625,15.625,53.125,84.375,84.375,40.625,59.375,0.328125,0.484375
2000,24.96864413309562,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.3362482383959774,21.13484087400957,0.09817595430707562,0.4702414406323029,0.6290491427119301,0.9101983207878962,0.0530709449763561,0.008432911222670123,0.09629148792931225,0.4,4,4.0114892578125,0.2264109552592425,6.698358464735201,71.875,96.875,3.125,53.125,65.625,65.625,3.125,34.375,34.375,90.625,9.375,0.078125,0.234375
